article,polarity,subjectivity
200-years-of-chinese-australians-first-settler-s-descendants-reconnect-with-their-roots.txt,0.12115038872691933,0.29586005830903794
2013-melbourne-cup.txt,0.22333333333333333,0.30333333333333334
226-million-beverly-hills-mansion-touted-as-most-expensive-currently-on-sale-in-the-united-states.txt,0.14285714285714285,0.4839285714285714
a-new-exhibition-explores-the-history-and-legacy-of-the-anti-chinese-race-riots-at-lambing-flats.txt,0.043567493112947664,0.31131641086186534
aboriginal-diggers-their-sacrifice-for-our-gain.txt,0.15017017618869472,0.50196016603424
accepting-refugees-makes-the-most-economic-sense.txt,0.11059995991973824,0.4524675443029493
anzac-day-2015-not-white-enough-to-fight-chinese-anzacs-initially-barred-from-enlisting-for-wwi.txt,0.11211863533292106,0.41761363636363635
anzac-day-2018-the-chinese-australian-woman-who-worked-as-a-decoder-in-wwii.txt,0.1200863269284322,0.31932052353104984
archibald-prize-2015-newcastle-artist-nigel-milsom-wins-prestigious-award-for-charles-waterstreet-portrait.txt,0.17254349424160748,0.3696642979661847
asian-australians-join-year-of-snake-celebrations.txt,0.12230798551553268,0.35248713550600347
aussie-writer-missing-in-china-contacts-friends.txt,-0.062181122448979595,0.3596173469387755
australia-s-foreign-real-estate-investment-boom-looks-to-be-over-here-are-five-things-we-learned.txt,0.040782828282828296,0.30163403263403266
australia-s-missing-voices.txt,0.12051046176046173,0.3733252164502163
australia-s-population-hit-25-million-newest-resident-likely-to-be-young-female-and-chinese-big-australia.txt,0.17270180799592563,0.3890830574654105
australia-s-spat-with-china-just-a-misunderstanding-says-chinese-business-delegation.txt,0.12381410256410257,0.32196581196581203
australian-artist-badiucao-s-hong-kong-show-cancelled-after-threats-from-china.txt,0.0452906976744186,0.24046511627906977
australian-artist-guo-jian-detained-in-china-ahead-of-tiananmen-square-anniversary-friends-say.txt,0.0004166666666666624,0.3547916666666667
australian-chinese-artist-guo-jian-fined-and-held-over-visa-problems-in-beijing.txt,-0.004131652661064431,0.21930079724197374
australian-dollar-struggles-as-chinese-economy-stalls.txt,-0.009788359788359789,0.33161375661375664
australian-media-playing-into-china-s-grand-strategy.txt,0.07341272759871552,0.3931280345424268
australian-shares-lose-33b-after-chinese-market-slumps-again.txt,-0.04108878968253969,0.35994295634920637
beazley-sees-imams-as-vital-to-terrorism-fight.txt,0.037429971988795496,0.4625583566760037
being-aussie-is-about-more-than-where-or-who-you-came-from.txt,0.10000497368236319,0.4207165849170944
business-as-usual-despite-ng-s-jailing-in-china.txt,-0.005808080808080802,0.2993055555555555
cambria-green-development-earmarked-for-tasmania-s-east-coast-passes-council-hurdle.txt,0.18403421974850548,0.41907854050711196
carr-s-china-talks-dogged-by-us-australia-worries.txt,0.06347202180535516,0.36479210090321207
carr-wraps-up-high-security-china-visit.txt,0.11388888888888887,0.4361111111111111
chiko-roll-debate-heats-up-as-bendigo-family-back-victoria-s-claim-on-snack-s-origins.txt,0.17152292152292153,0.4617715617715619
china-s-40-years-of-economic-reform-that-opened-the-country-up-and-turned-it-into-a-superpower-china-power.txt,0.06475369537869541,0.3675381794131795
china-s-soft-power-plays-aren-t-new-to-australia-but-have-they-shifted-up-a-gear-rn.txt,0.05673284569836294,0.24967002346312683
china-to-scrap-presidential-term-limits-clearing-way-for-xi-jinping-to-rule-indefinitely-china-power.txt,0.07747880591630592,0.4247251533189033
china-wants-to-bury-australian-uighur-doco.txt,0.032344028520499106,0.3718347338935574
chinese-agents-are-undermining-australia-s-sovereignty-clive-hamilton-s-controversial-new-book-claims-china-power.txt,0.048802027365857155,0.26927617103149015
chinese-and-indigenous-australians-share-a-long-untold-history-that-s-been-captured-through-art.txt,0.077662598445731,0.2990455327804724
chinese-australian-artist-detained-before-tiananmen-anniversary-to-be-deported-australia-network-news.txt,0.028079814921920184,0.22404087140929246
